No,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（u）,取引価格（u単価）,土地の形状,間口,延床面積（u）,建築年,建物の構造,建物の用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,備考,緯度,経度
1,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),5,80000000,,,125,,ほぼ長方形,8,250,平成2年,ＲＣ,共同住宅、事務所,住宅,東,市道,3.3,近隣商業地域,80,300,平成27年第３四半期,,35.173186,136.957627
2,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),5,40000000,,,140,,袋地等,2.8,100,平成26年,木造,住宅,住宅,西,市道,7.8,第１種住居地域,60,200,平成27年第１四半期,,35.173186,136.957627
3,宅地(土地),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),4,24000000,770000,,105,230000,台形,7.2,,,,,住宅,南,市道,6,近隣商業地域,80,200,平成26年第４四半期,,35.173186,136.957627
4,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),6,14000000,,,100,,ほぼ長方形,9,145,昭和40年,木造,共同住宅,住宅,南,市道,3.3,第１種住居地域,60,200,平成26年第４四半期,,35.173186,136.957627
5,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),5,210000000,,,650,,長方形,33,620,平成4年,鉄骨造,事務所,事務所,南,市道,6,第１種住居地域,60,200,平成26年第３四半期,,35.173186,136.957627
6,宅地(土地),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),5,30000000,620000,,160,190000,ほぼ長方形,7,,,,,その他,東,市道,4.2,第１種住居地域,60,200,平成26年第３四半期,,35.173186,136.957627
7,宅地(土地),商業地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),4,5000000,360000,,45,110000,不整形,10.7,,,,,,南西,市道,24.5,近隣商業地域,80,300,平成26年第１四半期,,35.173186,136.957627
8,宅地(土地),商業地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),4,19000000,660000,,95,200000,不整形,6.2,,,,,,南西,国道,,近隣商業地域,80,300,平成24年第１四半期,,35.173186,136.957627
9,宅地(土地),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),5,26000000,750000,,115,230000,長方形,7,,,,,,北,市道,6,第１種住居地域,60,200,平成23年第２四半期,,35.182384,136.863978
10,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),6,41000000,,,165,,ほぼ正方形,12.5,280,昭和41年,ＲＣ,共同住宅,,東,市道,8,第１種住居地域,60,200,平成23年第１四半期,,35.182384,136.863978
11,宅地(土地),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),5,27000000,640000,,140,190000,長方形,9,,,,,,西,市道,7,第１種住居地域,60,200,平成23年第１四半期,,35.182384,136.863978
12,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,青柳町,吹上(愛知),4,63000000,,,160,,ほぼ長方形,6.9,155,平成21年,木造,住宅,,南,市道,6.1,第１種住居地域,60,200,平成22年第３四半期,,35.182384,136.863978
13,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,12,32000000,,,220,,不整形,6.8,,,,,住宅,西,市道,6.4,第１種住居地域,60,200,平成27年第３四半期,,35.182384,136.863978
14,中古マンション等,,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,4,19000000,,３ＬＤＫ,75,,,,,平成3年,ＲＣ,住宅,住宅,,,,第１種低層住居専用地域,50,150,平成27年第１四半期,改装済を購入,35.182384,136.863978
15,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,12,40000000,,,155,,ほぼ長方形,11,125,平成元年,木造,住宅,住宅,南,市道,5.5,第１種低層住居専用地域,50,150,平成26年第４四半期,,35.182384,136.863978
16,宅地(土地),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,9,28000000,620000,,150,190000,長方形,6,,,,,住宅,東,市道,6,第１種住居地域,60,200,平成26年第４四半期,,35.182384,136.863978
17,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,6,42000000,,,95,,ほぼ正方形,10.6,90,平成25年,木造,住宅,,東,市道,5.4,第１種低層住居専用地域,50,150,平成25年第４四半期,,35.182384,136.863978
18,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,6,46000000,,,185,,長方形,6.5,100,平成25年,木造,住宅,,北,町道,6.4,第１種低層住居専用地域,50,150,平成25年第４四半期,,35.182384,136.863978
19,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,6,44000000,,,85,,長方形,4.9,100,平成25年,木造,住宅,,北,市道,5.4,第１種低層住居専用地域,50,150,平成25年第３四半期,,35.182384,136.863978
20,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,6,44000000,,,100,,長方形,11.5,95,平成25年,木造,住宅,,西,市道,7.2,第１種低層住居専用地域,50,150,平成25年第３四半期,,35.182384,136.863978
21,宅地(土地),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,5,42000000,740000,,185,220000,長方形,9.5,,,,,,北,市道,5.4,第１種低層住居専用地域,50,150,平成24年第４四半期,,35.182384,136.863978
22,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,6,44000000,,,105,,長方形,6.7,100,平成25年,木造,,,南,市道,6.4,第１種低層住居専用地域,50,150,平成24年第４四半期,,35.182384,136.863978
23,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,13,27000000,,,175,,長方形,9,115,昭和45年,木造,住宅,,東,市道,6.4,第１種住居地域,60,200,平成24年第３四半期,,35.182384,136.863978
24,宅地(土地と建物),住宅地,23101,愛知県,名古屋市千種区,赤坂町,茶屋ケ坂,12,20000000,,,90,,長方形,6,95,平成2年,木造,住宅,,南東,市道,7.2,第１種低層住居専用地域,50,150,平成24年第２四半期,,35.182384,136.863978
